Domain;Service;Service Impact;Application;Common name
COMMERCIAL;.COM;1-Extensive/Widespread;COM020;SERVICIOS PASSBOOK
COMMERCIAL;.COM;1-Extensive/Widespread;COM021;BAH/BA HOLIDAYS/IBDP/DYNAMIC PACKAGING/DP/VIAJES IB/IB HOLIDAYS
COMMERCIAL;.COM;1-Extensive/Widespread;COM022;MOBIMSL / MSL AIRLINE (IOS/ANDROID/MOVILIDAD)
COMMERCIAL;.COM;1-Extensive/Widespread;COM024;APPS AIRLINE SMARTWATCH
COMMERCIAL;.COM;1-Extensive/Widespread;COM025;WEB DE SUBASTAS
COMMERCIAL;.COM;1-Extensive/Widespread;COM026;SERVICE LUNCH/ PREPAID SPECIAL MENU OR STANDARD MEALS/ PREORDER
COMMERCIAL;.COM;1-Extensive/Widespread;COM033;AIRLINE PARKING ANDROID
COMMERCIAL;.COM;1-Extensive/Widespread;COM034;AIRLINE PARKING IOS
COMMERCIAL;.COM;1-Extensive/Widespread;COM037;LOGINIBPLUS-RS
COMMERCIAL;.COM;1-Extensive/Widespread;COM038;UNKNOWN
COMMERCIAL;.COM;1-Extensive/Widespread;COM039;AIRLINE.COM SERVICES PLATFORM - IBIS
COMMERCIAL;.COM;1-Extensive/Widespread;COM040;"METASEARCH AIRLINE.COM
MSE"
COMMERCIAL;.COM;1-Extensive/Widespread;COM041;"CHECKIN ONLINE
CKI ONLINE"
COMMERCIAL;.COM;1-Extensive/Widespread;COM042;NDC
COMMERCIAL;.COM;1-Extensive/Widespread;COM043;WEB TWO CHECKING/BOOKING/ANGULASJS APACHE SERVERS/RESPONSIVE APP
COMMERCIAL;.COM;1-Extensive/Widespread;COM044;AIRLINE.COM WEBCENTER SITES
COMMERCIAL;.COM;1-Extensive/Widespread;COM045;ANTI ROBOTIC TOOL
COMMERCIAL;.COM;1-Extensive/Widespread;COM046;MULTINUCLEO
COMMERCIAL;.COM;1-Extensive/Widespread;GESTIÓN DE PERFILES;AIRLINE.COM MTTO PERFILES
COMMERCIAL;.COM;1-Extensive/Widespread;.COM GESTOR DE CONTENIDOS;AIRLINE.COM GESTOR CONTENIDOS
COMMERCIAL;.COM;1-Extensive/Widespread;.COM-INFORM-GESTION;INFORMES DE GESTION DE AIRLINE.COM
COMMERCIAL;.COM;1-Extensive/Widespread;.COM PORTAL;AIRLINE.COM PORTAL + PPG .COM
COMMERCIAL;.COM;1-Extensive/Widespread;.COM ROBOT EMISIÓN BATCH;AIRLINE.COM ROBOT EMISION BATCH
COMMERCIAL;TICKETING SYSTEM;1-Extensive/Widespread;ABD;ABD Y AUTORIZACIONES ESPECIALES / AD Y AUTORIZ / BONOS HTR
COMMERCIAL;TICKETING SYSTEM;1-Extensive/Widespread;REEMBOLSOS;EMB999 / REEMBOLSOS
COMMERCIAL;TICKETING SYSTEM;1-Extensive/Widespread;SYS;SYS-CONTROL APL. USASSYS - CONTROL DE AGENTES
COMMERCIAL;TICKETING SYSTEM;1-Extensive/Widespread;TKT;BILLETES TKT/TICKETING
COMMERCIAL;TICKETING SYSTEM;1-Extensive/Widespread;TKT (INTERLINE ET);BILLETE ET INTERLINE/IET
ENGINEERING;MRO SAP;1-Extensive/Widespread;APO005;GALYS
ENGINEERING;MRO SAP;1-Extensive/Widespread;IMH001;SAP HR
ENGINEERING;MRO SAP;1-Extensive/Widespread;IMM001;SAP. PLANIFICACION/CENTRAL PLANNING
ENGINEERING;MRO SAP;1-Extensive/Widespread;IMM003;SAP MM
ENGINEERING;MRO SAP;1-Extensive/Widespread;IMP001;SAP FI-CO-SD
ENGINEERING;MRO SAP;1-Extensive/Widespread;IPM003;SAP. MOTORES
ENGINEERING;MRO SAP;1-Extensive/Widespread;IPM004;SAP. COMPONENTES/SAP.IERA
ENGINEERING;MRO SAP;1-Extensive/Widespread;IPM005;SAP_ REVISION DE AVIONES
ENGINEERING;MRO SAP;1-Extensive/Widespread;MRO001;FACTURAE
ENGINEERING;MRO SAP;1-Extensive/Widespread;MRO005;TAGCONTROL
OPERATIONS;CREW MANAGEMENT;1-Extensive/Widespread;GTR003;IOS / AUTOBRIEFING PARA EL SOBRECARGO
OPERATIONS;CREW MANAGEMENT;1-Extensive/Widespread;GTR004;NEMO
OPERATIONS;CREW MANAGEMENT;1-Extensive/Widespread;GTR005;DOCMA
OPERATIONS;CREW MANAGEMENT;1-Extensive/Widespread;GTR008;NUEVOS TERMINALES DE FIRMAS
OPERATIONS;CREW MANAGEMENT;1-Extensive/Widespread;GTR009;GTR009-GABRIEL
OPERATIONS;CREW MANAGEMENT;1-Extensive/Widespread;GTR010;GAT/GESTION ACTIVIDAD TRIPULANTES
OPERATIONS;CREW MANAGEMENT;1-Extensive/Widespread;INCIVOX;INCIVOX
OPERATIONS;CREW MANAGEMENT;1-Extensive/Widespread;MERLIN;MERLÍN
OPERATIONS;CREW MANAGEMENT;1-Extensive/Widespread;PMO002;GDFLOTAS/GESTOR DOCUMENTAL DE FLOTAS
OPERATIONS;FLIGHT DISPATCHING;1-Extensive/Widespread;DES013;NIMBUS AUTOBRIEFING
OPERATIONS;FLIGHT DISPATCHING;1-Extensive/Widespread;DES014;NIMBUS/ VIGILANCIA DE VUELOS
OPERATIONS;FLIGHT DISPATCHING;1-Extensive/Widespread;DES015;AIRCOM SERVER
OPERATIONS;FLIGHT DISPATCHING;1-Extensive/Widespread;DES016;SABRE FMP
OPERATIONS;FLIGHT DISPATCHING;1-Extensive/Widespread;DES017;EFB OPS
OPERATIONS;FLIGHT TRACKING AND CONTROL;1-Extensive/Widespread;CICLOPE;CICLOPE
OPERATIONS;FLIGHT TRACKING AND CONTROL;1-Extensive/Widespread;ESTAD-OPERATIVA;EPYR ESTADISTICAS OPERATIVAS
OPERATIONS;FLIGHT TRACKING AND CONTROL;1-Extensive/Widespread;EXP052;SEGUIMIENTO DE VUELOS
OPERATIONS;FLIGHT TRACKING AND CONTROL;1-Extensive/Widespread;FCM001;ARMS
OPERATIONS;FLIGHT TRACKING AND CONTROL;1-Extensive/Widespread;SVU003;FLEET CONTROL/MEDUSA/SEGUIMIENTO DE VUELOS
OPERATIONS;FLIGHT TRACKING AND CONTROL;1-Extensive/Widespread;SVU004;IOB
OPERATIONS;FLIGHT TRACKING AND CONTROL;1-Extensive/Widespread;SVU005;SLOT MANAGER
OPERATIONS;FLIGHT TRACKING AND CONTROL;1-Extensive/Widespread;SVU006;OMEGA/SEGUIMIENTO DE VUELOS
OPERATIONS;FLIGHT TRACKING AND CONTROL;1-Extensive/Widespread;SVU008;OBI AEROPUERTOS
OPERATIONS;LOAD PLAN;1-Extensive/Widespread;CDV;PDA (PARTE DESPACHO VUELOS)
OPERATIONS;LOAD PLAN;1-Extensive/Widespread;HJC001;UNKNOWN
OPERATIONS;LOAD PLAN;1-Extensive/Widespread;LDP;LDP  HOJA DE CARGA
OPERATIONS;LOAD PLAN;1-Extensive/Widespread;SYS;SYS-CONTROL APL. USASSYS - CONTROL DE AGENTES
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
